Date,Portfolio_Value,Benchmark_Value,Returns,Benchmark_Returns,Positions_Held,Cash,Drawdown,Stock_Selection,Sector_Allocation,Timing
2020-03-31,10000000.0,1125.8599853515625,0.0,0.0,20,500000.0,0.0,0.00767759731608493,0.1535519463216986,-0.16122954363778352
2020-06-30,10306331.88976178,1339.030029296875,0.030633188976177946,0.18933974625516845,20,515316.594488089,0.030633188976177946,0.03063318897617789,0.6126637795235579,-0.6126637795235579
2020-09-30,10668792.944127463,1237.0400390625,0.03516877374439581,-0.07616706720754424,20,533439.6472063732,0.03516877374439581,0.03516877374439577,0.7033754748879156,-0.7033754748879156
2020-12-31,10733031.995678142,1449.3499755859375,0.006021210823670423,0.17162737649489354,20,536651.5997839071,0.006021210823670423,0.006021210823670435,0.12042421647340862,-0.12042421647340863
2021-03-31,10669876.533967232,1587.2099609375,-0.005884214426672736,0.09511849289253205,20,533493.8266983617,-0.005884214426672736,-0.005884214426672782,-0.11768428853345557,0.11768428853345561
2021-06-30,11120177.712506307,1587.7900390625,0.04220303553706124,0.00036547031538119356,20,556008.8856253154,0.03607048939983195,0.04220303553706137,0.8440607107412273,-0.8440607107412275
2021-09-30,11190639.19209873,1605.6800537109375,0.0063363627285540165,0.011267242020866021,20,559531.9596049365,0.0063363627285540165,0.006336362728553883,0.12672725457107759,-0.12672725457107745
2021-12-31,11377783.90782602,1657.6199951171875,0.016723326747897088,0.03234762821286219,20,568889.195391301,0.016723326747897088,0.01672332674789704,0.3344665349579407,-0.33446653495794065
2022-03-31,11146582.399085425,1695.239990234375,-0.02032043415603688,0.022695186609719864,20,557329.1199542712,-0.02032043415603688,-0.02032043415603686,-0.4064086831207371,0.4064086831207371
2022-06-30,11876437.178888882,1568.3299560546875,0.06547789750007511,-0.0748625769276134,20,593821.8589444441,0.04382692403921222,0.06547789750007514,1.3095579500015033,-1.3095579500015033
2022-09-30,12465887.756054047,1589.510009765625,0.049631936605782044,0.013504845475386018,20,623294.3878027024,0.049631936605782044,0.049631936605781926,0.9926387321156386,-0.9926387321156385
2022-12-31,11859879.670414586,1668.6600341796875,-0.0486133115826552,0.04979523496409643,20,592993.9835207294,-0.0486133115826552,-0.04861331158265513,-0.9722662316531029,0.9722662316531028
2023-03-31,12166206.017049622,1609.1700439453125,0.025828790438674656,-0.035651354389643695,20,608310.3008524812,-0.024040144181378943,0.025828790438674663,0.5165758087734933,-0.5165758087734933
2023-06-30,12487285.071580619,1503.0999755859375,0.026391058484546395,-0.06591600978310269,20,624364.253579031,0.001716469452099754,0.02639105848454633,0.5278211696909267,-0.5278211696909266
2023-09-30,13078781.865043387,1471.4300537109375,0.04736792585995617,-0.021069737468829678,20,653939.0932521694,0.04736792585995617,0.04736792585995609,0.9473585171991223,-0.9473585171991222
2023-12-31,13740290.573356112,1415.8499755859375,0.05057877064841858,-0.037772830577184,20,687014.5286678057,0.05057877064841858,0.05057877064841859,1.011575412968372,-1.011575412968372
2024-03-31,14398336.129873233,1377.93994140625,0.04789167689023556,-0.02677545985336388,20,719916.8064936617,0.04789167689023556,0.04789167689023556,0.9578335378047118,-0.9578335378047118
2024-06-30,15319725.720297713,1300.9599609375,0.06399278236829106,-0.05586599107519044,20,765986.2860148856,0.06399278236829106,0.0639927823682911,1.2798556473658222,-1.2798556473658222
2024-09-30,15525942.370871762,1448.8299560546875,0.013460857872985569,0.11366221832886322,20,776297.1185435881,0.013460857872985569,0.013460857872985505,0.26921715745971025,-0.2692171574597102
2024-12-31,16297722.095094366,1400.2099609375,0.04970904218159028,-0.0335581100556374,20,814886.1047547184,0.04970904218159028,0.0497090421815902,0.9941808436318045,-0.9941808436318044
